latitude,longitude,hour,day_of_week,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_rush_hour,is_weekend,is_holiday,temp,has_snow,has_rain,temp_category,is_freezing,is_hot,humidity,wind_speed,feels_like,is_cbd
40.764811,-73.973347,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.764664,-73.980658,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.759901,-73.984139,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.745494,-73.988691,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.741303,-73.989344,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.730328,-73.992629,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.724329,-73.997702,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.713282,-74.006978,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.70722,-74.013342,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.72028,-73.993915,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.706476,-74.011056,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.732849,-73.986122,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.730953,-73.981628,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.868072,-73.919899,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.865491,-73.927271,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.859022,-73.93418,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.851695,-73.937969,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.847391,-73.939704,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.836013,-73.939892,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.830518,-73.941514,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
