dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1703980800,2023-12-31 00:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,6.53,10000,1.26,3.19,5.97,7.08,1007,,,69,5.14,300,,,,,,40,802,Clouds,scattered clouds,03n
1703984400,2023-12-31 01:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,5.81,10000,-0.6,1.16,4.87,6.2,1008,,,63,8.23,300,11.32,,,,,75,803,Clouds,broken clouds,04n
1703988000,2023-12-31 02:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,5.45,10000,-1.49,1.83,4.49,6.08,1008,,,60,5.14,320,,,,,,0,800,Clear,sky is clear,01n
1703991600,2023-12-31 03:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.92,10000,-1.54,1.17,3.44,5.86,1009,,,62,5.14,310,,,,,,0,800,Clear,sky is clear,01n
1703995200,2023-12-31 04:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.34,10000,-1.46,0.7,2.87,4.99,1010,,,65,4.63,310,,,,,,75,803,Clouds,broken clouds,04n
1703998800,2023-12-31 05:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.18,10000,-1.41,0.24,2.87,4.86,1010,,,66,5.14,330,,0.25,,,,75,500,Rain,light rain,10n
1704002400,2023-12-31 06:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.42,10000,-1.39,0.31,3.42,4.99,1011,,,65,5.66,310,,,,,,100,804,Clouds,overcast clouds,04n
1704006000,2023-12-31 07:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.62,10000,-1.99,0.56,3.77,5.08,1012,,,61,5.66,320,,,,,,100,804,Clouds,overcast clouds,04n
1704009600,2023-12-31 08:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.63,10000,-2.58,0.57,3.87,5.08,1013,,,58,5.66,310,,,,,,100,804,Clouds,overcast clouds,04n
1704013200,2023-12-31 09:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.29,10000,-2.86,-0.66,3.77,4.86,1013,,,58,7.72,310,10.8,,,,,100,804,Clouds,overcast clouds,04n
1704016800,2023-12-31 10:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.29,10000,-3.28,-0.29,3.77,4.86,1013,,,56,6.71,320,,,,,,100,804,Clouds,overcast clouds,04n
1704020400,2023-12-31 11:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.06,10000,-3.05,-1.29,3.44,4.43,1014,,,58,8.75,300,,,,,,100,804,Clouds,overcast clouds,04n
1704024000,2023-12-31 12:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,3.92,10000,-3.38,-0.08,3.21,4.43,1014,,,57,5.14,310,,,,,,40,802,Clouds,scattered clouds,03n
1704027600,2023-12-31 13:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.09,10000,-3.24,-0.33,2.83,4.86,1015,,,57,6.17,320,10.29,0.25,,,,75,500,Rain,light rain,10d
1704031200,2023-12-31 14:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,4.61,10000,-2.8,0.55,3.87,5.11,1016,,,57,5.66,310,,,,,,100,804,Clouds,overcast clouds,04d
1704034800,2023-12-31 15:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,5.22,10000,-2.51,1.11,4.3,6.08,1016,,,56,6.17,320,,,,,,100,804,Clouds,overcast clouds,04d
1704038400,2023-12-31 16:00:00 +0000 UTC,-18000,Manhattan,40.768517,-73.982194,5.35,10000,-2.61,1.07,4.86,6.08,1016,,,55,6.71,310,,,,,,100,804,Clouds,overcast clouds,04d
