temp,humidity,wind_speed,feels_like,weather_main,date,hour
5.75,59.0,4.47,2.53,Rain,2024-01-01,0
5.43,60.0,4.12,2.32,Rain,2024-01-01,1
5.45,62.0,4.12,2.35,Clouds,2024-01-01,2
5.05,64.0,4.12,1.85,Clouds,2024-01-01,3
4.87,65.0,3.1,2.28,Clouds,2024-01-01,4
4.6,68.0,2.1,2.8,Clouds,2024-01-01,5
4.74,70.0,3.6,1.78,Rain,2024-01-01,6
3.92,78.0,3.6,0.78,Rain,2024-01-01,7
3.94,81.0,2.68,1.49,Rain,2024-01-01,8
4.22,80.0,2.6,1.89,Rain,2024-01-01,9
4.94,75.0,3.1,2.36,Rain,2024-01-01,10
6.05,70.0,5.14,2.59,Clouds,2024-01-01,11
6.88,64.0,2.1,5.47,Clear,2024-01-01,12
7.52,60.0,1.54,6.77,Clouds,2024-01-01,13
7.04,59.0,3.1,4.89,Clouds,2024-01-01,14
7.6,56.0,2.6,5.91,Clouds,2024-01-01,15
7.29,58.0,3.13,5.17,Clouds,2024-01-01,16
6.8,59.0,3.58,4.3,Clouds,2024-01-01,17
6.1,59.0,3.58,3.45,Clear,2024-01-01,18
5.54,60.0,6.71,1.31,Clear,2024-01-01,19
5.03,61.0,4.12,1.83,Clouds,2024-01-01,20
4.26,63.0,4.92,0.45,Clear,2024-01-01,21
3.37,64.0,4.92,-0.66,Clear,2024-01-01,22
2.66,67.0,5.14,-1.66,Clear,2024-01-01,23
1.78,69.0,4.47,-2.39,Clear,2024-01-02,0
1.09,70.0,4.47,-3.24,Clear,2024-01-02,1
0.33,69.0,4.12,-3.96,Clear,2024-01-02,2
-0.17,69.0,4.92,-5.08,Clear,2024-01-02,3
-0.64,68.0,5.81,-6.17,Clear,2024-01-02,4
-1.06,67.0,5.36,-6.45,Clear,2024-01-02,5
-1.24,67.0,7.6,-7.77,Clear,2024-01-02,6
-1.57,68.0,4.47,-6.54,Clear,2024-01-02,7
-1.48,68.0,3.6,-5.8,Clear,2024-01-02,8
-0.86,66.0,4.12,-5.43,Clear,2024-01-02,9
0.24,61.0,4.63,-4.4,Clear,2024-01-02,10
1.43,57.0,4.12,-2.61,Rain,2024-01-02,11
2.96,53.0,4.63,-1.02,Rain,2024-01-02,12
4.06,49.0,4.63,0.35,Rain,2024-01-02,13
4.98,47.0,3.1,2.41,Rain,2024-01-02,14
5.69,44.0,4.63,2.38,Clear,2024-01-02,15
5.65,45.0,4.63,2.33,Clear,2024-01-02,16
5.23,48.0,3.6,2.38,Clear,2024-01-02,17
