PULocationID,day_of_week,pickup_hour,min,p10,p25,p50,p75,p90,max,normalised_busyness
4,0,0,5,7.0,9.0,12.5,15.0,19.300000000000004,59,0.05791615406454055
4,0,1,2,3.0,5.0,6.5,11.0,16.5,73,0.05375224756316835
4,0,2,2,3.6,4.0,5.0,7.0,18.200000000000003,68,0.04126052805905177
4,0,3,1,2.0,2.75,5.0,6.25,9.700000000000001,67,0.02119806946153118
4,0,4,1,2.0,3.0,3.0,5.0,6.0,64,0.01059903473076559
4,0,5,1,1.0,2.0,3.0,5.0,6.800000000000001,18,0.0029336613986940476
4,0,6,1,3.0,4.0,7.0,9.0,11.0,13,0.0071922021387337935
4,0,7,4,6.1000000000000005,8.0,12.0,18.0,20.9,27,0.014762941232137786
4,0,8,1,6.0,11.0,16.0,19.0,24.0,30,0.017507334153496732
4,0,9,4,6.0,9.0,13.0,15.0,19.0,23,0.016750260244156333
4,0,10,4,7.0,9.0,11.0,13.0,16.0,24,0.014857575470805335
4,0,11,5,7.0,8.25,11.0,12.75,14.5,18,0.017412699914829185
4,0,12,4,7.0,9.0,12.0,15.0,17.0,23,0.019116116210845083
4,0,13,6,8.0,11.0,12.0,14.0,19.200000000000003,25,0.02100880098419608
4,0,14,6,10.0,12.0,16.0,18.5,20.999999999999993,56,0.02394246238289013
4,0,15,8,13.0,14.5,18.0,21.0,22.4,29,0.028106368884262326
4,0,16,6,12.3,15.75,18.5,21.0,23.400000000000006,27,0.030472224850951073
4,0,17,11,17.0,20.0,24.0,28.0,32.6,41,0.04173369925238951
4,0,18,13,17.0,23.0,26.0,31.5,37.0,42,0.05157566007381471
4,0,19,11,16.5,19.0,22.5,27.0,32.5,47,0.0504400492098041
4,0,20,15,17.3,19.0,24.0,29.25,34.0,43,0.04599223999242926
4,0,21,13,18.3,20.0,26.5,30.0,34.400000000000006,49,0.04854736443645311
4,0,22,15,16.9,22.5,25.0,32.25,37.0,42,0.0564966404845273
4,0,23,6,11.0,13.0,16.5,23.0,24.0,32,0.05772688558720544
4,1,0,2,6.800000000000001,10.0,13.0,14.0,17.0,22,0.05791615406454055
4,1,1,3,4.800000000000001,6.0,8.0,10.0,13.0,17,0.05375224756316835
4,1,2,1,2.0,3.0,5.0,6.75,8.5,10,0.04126052805905177
4,1,3,1,1.0,1.25,2.5,3.0,4.0,4,0.02119806946153118
4,1,4,1,1.0,1.0,2.0,2.5,4.0,5,0.01059903473076559
4,1,5,1,1.0,1.0,2.0,3.0,4.0,7,0.0029336613986940476
4,1,6,1,2.8000000000000007,5.0,7.0,9.0,10.0,16,0.0071922021387337935
4,1,7,2,7.0,9.0,14.0,19.0,23.799999999999997,30,0.014762941232137786
4,1,8,2,10.2,13.0,17.0,20.0,21.800000000000004,31,0.017507334153496732
4,1,9,6,10.100000000000001,12.75,16.0,19.0,21.9,29,0.016750260244156333
4,1,10,6,8.0,10.0,12.0,14.0,16.800000000000004,20,0.014857575470805335
4,1,11,6,7.800000000000001,9.0,11.0,12.0,14.200000000000003,21,0.017412699914829185
4,1,12,6,8.0,10.0,13.0,15.0,18.0,21,0.019116116210845083
4,1,13,5,8.0,10.0,13.0,15.5,20.0,23,0.02100880098419608
4,1,14,8,10.0,12.25,15.0,17.0,19.1,26,0.02394246238289013
4,1,15,10,12.0,16.25,18.0,20.0,23.0,35,0.028106368884262326
4,1,16,7,14.0,15.75,18.5,21.0,25.0,36,0.030472224850951073
4,1,17,16,18.8,24.0,29.0,35.0,41.2,58,0.04173369925238951
4,1,18,15,24.0,27.0,35.0,42.5,60.0,86,0.05157566007381471
4,1,19,18,22.8,27.0,31.0,38.0,55.2,90,0.0504400492098041
4,1,20,10,21.7,27.5,34.0,42.25,53.0,83,0.04599223999242926
4,1,21,20,25.6,28.0,38.0,54.0,64.0,82,0.04854736443645311
4,1,22,15,22.1,29.5,39.5,50.0,58.9,86,0.0564966404845273
4,1,23,11,17.0,20.0,25.0,31.0,36.6,59,0.05772688558720544
4,2,0,7,10.0,12.0,16.0,20.0,24.4,39,0.05791615406454055
4,2,1,4,5.2,7.0,9.0,11.0,14.800000000000004,28,0.05375224756316835
4,2,2,1,3.0,4.0,5.0,7.0,8.0,10,0.04126052805905177
4,2,3,2,2.0,2.25,4.0,6.0,7.0,7,0.02119806946153118
4,2,4,2,2.0,2.5,3.0,4.0,4.0,5,0.01059903473076559
4,2,5,1,1.0,1.0,2.0,3.0,5.0,6,0.0029336613986940476
4,2,6,2,3.0,4.75,7.0,9.0,12.0,14,0.0071922021387337935
4,2,7,3,8.100000000000001,11.0,15.0,20.0,22.9,25,0.014762941232137786
4,2,8,3,8.0,13.0,18.0,22.0,24.0,33,0.017507334153496732
4,2,9,2,9.0,13.0,16.0,20.0,22.0,27,0.016750260244156333
4,2,10,2,6.0,9.0,10.0,12.0,14.0,31,0.014857575470805335
4,2,11,4,8.0,11.0,13.5,15.75,18.0,25,0.017412699914829185
4,2,12,5,7.0,9.75,12.0,14.0,17.900000000000013,25,0.019116116210845083
4,2,13,5,8.9,10.25,12.0,15.0,18.0,30,0.02100880098419608
4,2,14,9,11.9,14.25,17.0,19.0,24.0,28,0.02394246238289013
4,2,15,10,13.8,16.0,19.0,23.0,25.0,31,0.028106368884262326
4,2,16,13,16.0,18.0,21.0,24.0,30.200000000000003,41,0.030472224850951073
4,2,17,15,21.9,26.25,33.5,40.0,45.1,84,0.04173369925238951
4,2,18,18,25.0,29.75,40.5,51.0,66.8,89,0.05157566007381471
4,2,19,18,23.0,27.25,35.0,45.0,57.0,86,0.0504400492098041
4,2,20,12,22.0,28.0,35.0,44.5,58.0,83,0.04599223999242926
4,2,21,9,22.0,32.0,41.0,51.0,65.0,106,0.04854736443645311
4,2,22,11,27.0,32.75,48.0,54.0,64.0,80,0.0564966404845273
4,2,23,9,20.0,23.0,31.0,41.0,53.0,63,0.05772688558720544
4,3,0,6,12.0,13.25,19.0,25.75,30.300000000000004,48,0.05791615406454055
4,3,1,4,5.0,6.5,10.0,13.5,19.0,28,0.05375224756316835
4,3,2,1,2.3000000000000003,4.0,6.0,8.0,10.7,19,0.04126052805905177
4,3,3,2,2.2,3.0,4.0,7.0,7.800000000000001,11,0.02119806946153118
4,3,4,1,2.0,2.0,3.0,5.0,8.0,9,0.01059903473076559
4,3,5,1,2.0,2.0,3.0,5.0,7.0,9,0.0029336613986940476
4,3,6,2,3.9000000000000004,7.0,8.0,11.0,14.0,21,0.0071922021387337935
4,3,7,2,8.9,13.0,17.0,21.0,23.1,32,0.014762941232137786
4,3,8,5,11.0,14.0,18.0,22.25,26.799999999999997,30,0.017507334153496732
4,3,9,4,8.0,12.0,16.5,20.25,24.9,29,0.016750260244156333
4,3,10,5,7.0,8.0,12.0,15.0,20.0,26,0.014857575470805335
4,3,11,6,9.0,10.75,13.5,16.0,18.0,24,0.017412699914829185
4,3,12,7,9.0,10.0,12.0,15.0,19.200000000000003,24,0.019116116210845083
4,3,13,8,11.0,12.0,14.0,17.0,19.60000000000001,23,0.02100880098419608
4,3,14,7,10.0,14.0,17.0,20.0,23.0,28,0.02394246238289013
4,3,15,9,13.0,18.0,22.0,25.0,27.4,42,0.028106368884262326
4,3,16,14,16.7,19.0,22.0,27.0,30.0,36,0.030472224850951073
4,3,17,16,25.0,29.0,35.0,39.0,47.0,58,0.04173369925238951
4,3,18,17,27.8,36.0,45.0,58.0,61.2,90,0.05157566007381471
4,3,19,17,25.200000000000003,29.75,43.5,50.75,59.9,94,0.0504400492098041
4,3,20,17,24.0,31.0,41.0,52.0,64.4,91,0.04599223999242926
4,3,21,19,27.0,35.75,44.0,51.5,69.39999999999999,97,0.04854736443645311
4,3,22,13,32.300000000000004,44.5,53.5,67.0,75.9,92,0.0564966404845273
4,3,23,10,29.500000000000004,38.75,52.0,61.75,73.9,89,0.05772688558720544
