PULocationID,day_of_week,hour,p25,p75,p10,p50,p90,simulated_ridership,busyness_level
4,0,0,9,15,6.75,12,18.75,12,Busy
4,0,1,5,11,3.75,8,13.75,8,Busy
4,0,2,4,7,3,5.5,8.75,5.5,Busy
4,0,3,2.75,6.25,2.0625,4.5,7.8125,4.5,Busy
4,0,4,3,5,2.25,4,6.25,4,Busy
4,0,5,2,5,1.5,3.5,6.25,3.5,Busy
4,0,6,4,9,3,6.5,11.25,6.5,Busy
4,0,7,8,18,6,13,22.5,13,Busy
4,0,8,11,19,8.25,15,23.75,15,Busy
4,0,9,9,15,6.75,12,18.75,12,Busy
4,0,10,9,13,6.75,11,16.25,11,Busy
4,0,11,8.25,12.75,6.1875,10.5,15.9375,10.5,Busy
4,0,12,9,15,6.75,12,18.75,12,Busy
4,0,13,11,14,8.25,12.5,17.5,12.5,Busy
4,0,14,12,18.5,9,15.25,23.125,15.25,Busy
4,0,15,14.5,21,10.875,17.75,26.25,17.75,Busy
4,0,16,15.75,21,11.8125,18.375,26.25,18.375,Busy
4,0,17,20,28,15,24,35,24,Busy
4,0,18,23,31.5,17.25,27.25,39.375,27.25,Busy
4,0,19,19,27,14.25,23,33.75,23,Busy
4,0,20,19,29.25,14.25,24.125,36.5625,24.125,Busy
4,0,21,20,30,15,25,37.5,25,Busy
4,0,22,22.5,32.25,16.875,27.375,40.3125,27.375,Busy
4,0,23,13,23,9.75,18,28.75,18,Busy
4,1,0,10,14,7.5,12,17.5,12,Busy
4,1,1,6,10,4.5,8,12.5,8,Busy
4,1,2,3,6.75,2.25,4.875,8.4375,4.875,Busy
4,1,3,1.25,3,0.9375,2.125,3.75,2.125,Busy
4,1,4,1,2.5,0.75,1.75,3.125,1.75,Busy
4,1,5,1,3,0.75,2,3.75,2,Busy
4,1,6,5,9,3.75,7,11.25,7,Busy
4,1,7,9,19,6.75,14,23.75,14,Busy
4,1,8,13,20,9.75,16.5,25,16.5,Busy
4,1,9,12.75,19,9.5625,15.875,23.75,15.875,Busy
4,1,10,10,14,7.5,12,17.5,12,Busy
4,1,11,9,12,6.75,10.5,15,10.5,Busy
4,1,12,10,15,7.5,12.5,18.75,12.5,Busy
4,1,13,10,15.5,7.5,12.75,19.375,12.75,Busy
4,1,14,12.25,17,9.1875,14.625,21.25,14.625,Busy
4,1,15,16.25,20,12.1875,18.125,25,18.125,Busy
4,1,16,15.75,21,11.8125,18.375,26.25,18.375,Busy
4,1,17,24,35,18,29.5,43.75,29.5,Busy
4,1,18,27,42.5,20.25,34.75,53.125,34.75,Busy
4,1,19,27,38,20.25,32.5,47.5,32.5,Busy
4,1,20,27.5,42.25,20.625,34.875,52.8125,34.875,Busy
4,1,21,28,54,21,41,67.5,41,Busy
4,1,22,29.5,50,22.125,39.75,62.5,39.75,Busy
4,1,23,20,31,15,25.5,38.75,25.5,Busy
4,2,0,12,20,9,16,25,16,Busy
4,2,1,7,11,5.25,9,13.75,9,Busy
4,2,2,4,7,3,5.5,8.75,5.5,Busy
4,2,3,2.25,6,1.6875,4.125,7.5,4.125,Busy
4,2,4,2.5,4,1.875,3.25,5,3.25,Busy
4,2,5,1,3,0.75,2,3.75,2,Busy
4,2,6,4.75,9,3.5625,6.875,11.25,6.875,Busy
4,2,7,11,20,8.25,15.5,25,15.5,Busy
4,2,8,13,22,9.75,17.5,27.5,17.5,Busy
4,2,9,13,20,9.75,16.5,25,16.5,Busy
4,2,10,9,12,6.75,10.5,15,10.5,Busy
4,2,11,11,15.75,8.25,13.375,19.6875,13.375,Busy
4,2,12,9.75,14,7.3125,11.875,17.5,11.875,Busy
4,2,13,10.25,15,7.6875,12.625,18.75,12.625,Busy
4,2,14,14.25,19,10.6875,16.625,23.75,16.625,Busy
4,2,15,16,23,12,19.5,28.75,19.5,Busy
4,2,16,18,24,13.5,21,30,21,Busy
4,2,17,26.25,40,19.6875,33.125,50,33.125,Busy
4,2,18,29.75,51,22.3125,40.375,63.75,40.375,Busy
4,2,19,27.25,45,20.4375,36.125,56.25,36.125,Busy
4,2,20,28,44.5,21,36.25,55.625,36.25,Busy
4,2,21,32,51,24,41.5,63.75,41.5,Busy
4,2,22,32.75,54,24.5625,43.375,67.5,43.375,Busy
4,2,23,23,41,17.25,32,51.25,32,Busy
4,3,0,13.25,25.75,9.9375,19.5,32.1875,19.5,Busy
