PULocationID,hour,day_of_week,p10,p25,p50,p75,p90
24.0,0,0,18.0,21.0,30.0,36.0,50.0
24.0,0,1,22.0,25.0,33.0,43.0,47.800000000000004
24.0,0,2,23.9,26.0,34.0,45.0,51.2
24.0,0,3,25.0,31.0,39.0,47.0,56.0
24.0,0,4,35.0,40.0,46.0,58.0,67.0
24.0,0,5,31.1,56.0,68.0,81.75,105.69999999999999
24.0,0,6,24.900000000000006,40.75,58.0,82.25,92.8
24.0,1,0,7.0,9.0,13.0,17.0,20.800000000000004
24.0,1,1,8.2,12.0,13.0,17.0,20.800000000000004
24.0,1,2,10.0,13.0,16.0,18.0,23.0
24.0,1,3,8.8,12.0,17.0,21.0,24.1
24.0,1,4,10.0,13.0,17.0,23.75,28.1
24.0,1,5,13.100000000000001,19.0,28.0,39.25,45.0
24.0,1,6,11.0,16.0,24.0,33.0,42.8
24.0,2,0,3.0,5.0,7.0,9.0,10.899999999999999
24.0,2,1,3.1000000000000005,5.0,7.0,9.25,11.899999999999999
24.0,2,2,3.9000000000000004,5.25,8.0,9.0,11.0
24.0,2,3,5.0,7.0,9.0,12.0,16.0
24.0,2,4,3.9000000000000004,6.25,9.5,11.0,16.0
24.0,2,5,9.0,10.0,14.5,20.5,27.9
24.0,2,6,6.0,8.0,12.0,19.5,24.0
24.0,3,0,2.0,3.0,5.0,8.0,9.899999999999999
24.0,3,1,3.0,4.0,6.0,8.0,10.0
24.0,3,2,3.0,4.0,7.0,9.0,10.0
24.0,3,3,2.8000000000000007,5.0,7.0,10.0,12.0
24.0,3,4,4.0,7.0,9.0,11.0,13.100000000000001
24.0,3,5,3.0,5.0,8.0,12.0,13.899999999999999
24.0,3,6,3.0,4.0,6.0,9.25,10.0
24.0,4,0,5.2,8.0,11.0,14.0,17.0
24.0,4,1,8.0,10.0,13.0,17.0,19.9
24.0,4,2,6.0,8.0,13.0,15.0,17.9
24.0,4,3,7.0,10.0,12.0,15.0,18.9
24.0,4,4,7.1000000000000005,11.0,14.0,18.0,20.9
24.0,4,5,6.0,7.0,10.0,14.0,15.899999999999999
24.0,4,6,3.0,6.0,10.0,14.0,16.9
24.0,5,0,21.2,27.0,32.0,38.0,43.0
24.0,5,1,28.2,34.0,37.0,42.0,46.0
24.0,5,2,30.0,31.75,37.0,40.25,43.9
24.0,5,3,27.1,30.75,35.0,37.25,41.9
24.0,5,4,21.0,26.0,30.0,35.5,38.0
24.0,5,5,4.1000000000000005,10.0,13.0,19.25,23.9
24.0,5,6,6.0,9.0,12.0,17.0,20.0
24.0,6,0,84.4,129.0,150.0,160.0,168.0
24.0,6,1,113.60000000000001,144.0,163.0,169.0,183.00000000000003
24.0,6,2,138.70000000000002,152.25,161.5,173.75,180.9
24.0,6,3,114.10000000000001,138.75,151.5,162.25,175.0
24.0,6,4,98.2,120.25,138.5,155.0,162.9
24.0,6,5,11.100000000000001,41.0,48.0,58.75,69.8
24.0,6,6,6.1000000000000005,21.0,27.5,37.0,44.699999999999996
24.0,7,0,177.4,373.0,468.0,522.0,550.4000000000001
24.0,7,1,330.4,435.0,511.0,552.0,591.0
24.0,7,2,360.90000000000003,432.25,533.5,560.25,584.7
24.0,7,3,328.1,437.25,502.0,544.75,569.6
24.0,7,4,245.3,322.75,427.5,458.0,487.6
24.0,7,5,24.200000000000003,92.25,115.5,129.25,154.8
24.0,7,6,15.3,63.0,76.5,93.25,105.69999999999999
24.0,8,0,309.8,727.0,859.0,918.0,959.8
24.0,8,1,667.8,884.0,987.0,1072.0,1087.2
24.0,8,2,679.0,877.75,1018.0,1070.75,1087.7
24.0,8,3,634.0,896.75,967.0,1028.5,1051.5
24.0,8,4,467.1,630.0,711.5,799.0,829.7
24.0,8,5,35.1,148.25,196.0,228.0,248.8
24.0,8,6,26.500000000000004,114.5,140.0,163.75,183.7
24.0,9,0,350.2,421.0,485.0,522.0,538.4
24.0,9,1,432.40000000000003,527.0,566.0,601.0,635.2
24.0,9,2,483.2,542.25,578.0,601.75,634.1
24.0,9,3,463.5,525.0,560.0,598.25,619.7
24.0,9,4,386.2,448.75,488.5,525.5,563.0
24.0,9,5,41.400000000000006,218.5,276.5,332.75,372.0
24.0,9,6,35.5,188.5,228.0,265.75,311.3
24.0,10,0,310.6,345.0,371.0,397.0,428.40000000000003
24.0,10,1,342.4,369.0,397.0,431.0,462.6
24.0,10,2,354.4,379.5,424.5,456.25,470.0
24.0,10,3,325.40000000000003,379.75,398.0,445.25,467.6
24.0,10,4,339.3,371.5,422.0,460.5,481.9
24.0,10,5,63.2,317.25,378.0,439.75,478.9
24.0,10,6,52.2,270.25,318.0,400.25,438.5
24.0,11,0,311.6,341.0,354.0,382.0,432.20000000000005
24.0,11,1,322.6,338.0,373.0,406.0,450.6
24.0,11,2,358.2,375.5,406.0,432.25,478.0
24.0,11,3,359.1,370.0,395.0,421.25,472.9
24.0,11,4,364.5,398.0,450.0,481.5,518.0
24.0,11,5,76.3,357.0,484.5,578.0,645.9
24.0,11,6,61.1,346.0,421.0,509.25,544.3
24.0,12,0,338.0,361.0,400.0,430.0,484.8
24.0,12,1,349.8,378.0,415.0,441.0,472.8
24.0,12,2,371.4,397.25,432.5,476.25,522.7
24.0,12,3,379.1,404.5,427.0,462.5,499.59999999999997
24.0,12,4,407.0,460.5,509.0,543.0,576.0
24.0,12,5,88.2,425.5,516.0,646.75,700.5
24.0,12,6,86.0,406.75,503.5,593.5,650.5
24.0,13,0,357.6,386.0,419.0,460.0,507.40000000000003
24.0,13,1,379.2,414.0,453.0,472.0,507.6
24.0,13,2,398.5,431.5,472.5,504.0,542.0
24.0,13,3,403.0,431.0,457.0,491.25,523.0
24.0,13,4,452.0,482.0,525.0,581.5,635.0
24.0,13,5,102.7,434.75,529.0,654.75,736.9
24.0,13,6,101.3,440.5,504.5,594.5,637.4
24.0,14,0,398.2,456.0,507.0,545.0,600.0
24.0,14,1,430.8,479.0,523.0,588.0,609.0
24.0,14,2,428.4,502.75,546.5,579.25,628.6999999999999
24.0,14,3,434.3,480.75,544.0,614.0,651.9
24.0,14,4,474.0,588.5,638.0,710.0,754.0
24.0,14,5,115.2,419.75,489.5,588.0,675.9
24.0,14,6,84.5,391.25,475.5,553.75,605.6
24.0,15,0,543.2,600.0,723.0,804.0,869.2
24.0,15,1,612.2,655.0,753.0,890.0,919.6
24.0,15,2,597.1,658.25,782.5,867.75,921.4
24.0,15,3,593.1,661.5,792.5,906.0,949.0
24.0,15,4,637.1,697.75,851.5,927.25,994.1
24.0,15,5,117.10000000000001,438.25,519.0,592.5,675.6999999999999
24.0,15,6,103.7,378.25,456.5,504.5,562.1
24.0,16,0,599.8,690.0,773.0,851.0,918.8
24.0,16,1,684.8,735.0,812.0,890.0,928.6
24.0,16,2,692.0,751.5,820.0,921.0,971.6
24.0,16,3,704.1,762.75,845.5,908.5,963.0
24.0,16,4,654.9,750.25,860.0,952.0,1002.9
24.0,16,5,133.0,404.25,515.5,587.5,678.9
24.0,16,6,117.80000000000001,349.0,441.0,477.75,529.0
24.0,17,0,614.6,698.0,802.0,883.0,912.6
24.0,17,1,661.0,780.0,859.0,994.0,1056.4
24.0,17,2,702.0,781.5,889.5,1018.0,1104.8999999999999
24.0,17,3,724.2,789.25,924.0,1037.0,1106.7
24.0,17,4,573.4000000000001,767.25,927.5,1005.0,1085.8
24.0,17,5,133.2,366.0,504.5,615.5,664.0
24.0,17,6,102.2,308.75,425.5,477.25,527.6
24.0,18,0,405.2,519.0,584.0,635.0,682.8
24.0,18,1,500.0,600.0,674.0,758.0,826.8000000000001
24.0,18,2,548.9,634.5,708.0,774.25,822.8
24.0,18,3,545.2,621.0,763.0,854.75,911.1999999999999
24.0,18,4,579.3,672.5,814.5,894.75,935.7
24.0,18,5,111.1,367.25,473.5,617.5,667.0
24.0,18,6,113.5,289.25,374.0,447.5,481.79999999999995
24.0,19,0,274.6,364.0,400.0,430.0,450.6
24.0,19,1,341.6,386.0,444.0,508.0,527.0
24.0,19,2,369.8,408.0,458.5,513.0,561.4
24.0,19,3,378.8,432.75,507.5,571.5,616.6
24.0,19,4,423.40000000000003,485.25,594.5,675.5,698.8
